id,sku,link-href,name,origin_price,discount_percent,discount_percent,img-src,rating,review_count,brand_name,specification
323920,0220042002635,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),19.790.000₫,-17%,16.390.000₫,https://cdn.tgdd.vn/Products/Images/44/323920/hp-15-fd0234tu-i5-9q969pa-thumb-1-600x600.jpg,,,HP,Giá rẻ quá Online giá rẻ quá 19.790.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1334U; 1.3GHz Card: Intel Iris Xe Pin: 3-cell; 41Wh Khối lượng: 1.59 kg
327098,0220042002745,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),15.190.000₫,-15%,12.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327098/hp-15-fc0085au-r5-a6vv8pa-thumb-638624255401777068-600x600.jpg,3.8,384,HP,Giá rẻ quá Online giá rẻ quá 15.190.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: Ryzen 5; 7430U; 2.30 GHz Card: Radeon Pin: 3-cell; 41Wh Khối lượng: 1.59 kg
326050,0220042002703,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),13.490.000₫,-16%,11.290.000₫,https://cdn.tgdd.vn/Products/Images/44/326050/hp-15-fd0303tu-i3-a2nl4pa-thumb-1-600x600.jpg,,,HP,Giá rẻ quá 13.490.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i3; 1315U Card: Intel UHD Pin: 3-cell; 41Wh Khối lượng: 1.59 kg
328814,0220042002806,https://www.thegioididong.com/laptop/hp-240-g9-i5-ag2j7at,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT),19.590.000₫,-20%,15.490.000₫,https://cdn.tgdd.vn/Products/Images/44/328814/hp-240-g9-i5-ag2j7at-thumb-600x600.jpg,,,HP,Giá rẻ quá Online giá rẻ quá 19.590.000₫ Màn hình: 14"; Full HD (1920 x 1080) CPU: i5; 1235U; 1.3GHz Card: Intel UHD Pin: 3-cell; 41Wh Khối lượng: 1.47 kg
326049,0220042002702,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT),14.590.000₫,-14%,12.490.000₫,https://cdn.tgdd.vn/Products/Images/44/326049/hp-245-g10-r5-a20tdpt-thumb-600x600.jpg,,,HP,Giá rẻ quá 14.590.000₫ Màn hình: 14"; Full HD (1920 x 1080) CPU: Ryzen 5; 7530U; 2GHz Card: Radeon Pin: 3-cell; 41Wh Khối lượng: 1.36 kg
325691,0220042002694,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA),21.990.000₫,-12%,19.290.000₫,https://cdn.tgdd.vn/Products/Images/44/325691/hp-15-fd0015tu-i7-a19c5pa-thumb-1-600x600.jpg,1.8,184,HP,Giá rẻ quá Online giá rẻ quá 21.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i7; 1355U; 1.7GHz Card: Intel Iris Xe Pin: 3-cell; 41Wh Khối lượng: 1.59 kg
311176,0220042002356,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),21.290.000₫,-17%,17.490.000₫,https://cdn.tgdd.vn/Products/Images/44/311176/hp-pavilion-15-eg3093tu-i5-8c5l4pa-glr-thumb-600x600.jpg,,,HP,Giá rẻ quá Online giá rẻ quá 21.290.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1335U; 1.3GHz Card: Intel Iris Xe Pin: 3-cell; 41Wh Khối lượng: 1.69 kg
328906,0220042002808,https://www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT),13.690.000₫,-21%,10.790.000₫,https://cdn.tgdd.vn/Products/Images/44/328906/hp-240-g9-i3-ag2j5at-150824-034345-600x600.jpg,,,HP,Giá rẻ quá Online giá rẻ quá 13.690.000₫ Màn hình: 14"; Full HD (1920 x 1080) CPU: i3; 1215U; 1.2GHz Card: Intel UHD Pin: 3-cell; 41Wh Khối lượng: 1.42 kg
326830,0220042002733,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa,Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA),24.990.000₫,-6%,23.490.000₫,https://cdn.tgdd.vn/Products/Images/44/326830/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa-thumb-new-600x600.jpg,,,HP,24.990.000₫ Màn hình: 14"; Full HD (1920 x 1080); Cảm ứng CPU: Core 5; 120U; 1.4GHz Card: Intel Graphics Pin: 3-cell; 43Wh Khối lượng: 1.51 kg
318163,0220042002467,https://www.thegioididong.com/laptop/hp-victus-15-fa1139tx-i5-8y6w3pa,Laptop HP Gaming VICTUS 15 fa1139TX i5 12450H/16GB/512GB/4GB RTX2050/144Hz/Win11 (8Y6W3PA),24.590.000₫,-22%,18.990.000₫,https://cdn.tgdd.vn/Products/Images/44/318163/hp-victus-15-fa1139tx-i5-8y6w3pa-thumb-600x600.jpg,4,45,HP,Giá rẻ quá 24.590.000₫ Màn hình: 15.6"; Full HD (1920 x 1080); 144Hz CPU: i5; 12450H; 2GHz Card: RTX 2050 4GB Pin: 3-cell; 52.5Wh Khối lượng: 2.29 kg
