id,sku,link-href,name,origin_price,discount_percent,sale_price,img-src,rating,review_count,brand_name,specification,date
276063016,2469664515696,https://tiki.vn/laptop-asus-gaming-vivobook-k3605zc-i5-12500h-16gb-512gb-4gb-rtx3050-win11-rp629w-hang-chinh-hang-p276063016.html?spid=276063017,Laptop ASUS Gaming Vivobook K3605ZC i5 12500H/16GB/512GB/4GB RTX3050/Win11 (RP629W) - Hàng Chính Hãng,24990000,18%,20490000,https://salt.tikicdn.com/cache/280x280/ts/product/36/91/7f/9e2023d143c898a994b4617cb9d4c06a.jpg,0,0,Asus,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
276062994,1846576842886,https://tiki.vn/laptop-asus-gaming-vivobook-k3605zf-i5-12500h-16gb-512gb-4gb-rtx2050-win11-rp745w-hang-chinh-hang-p276062994.html?spid=276062996,Laptop Asus Gaming Vivobook K3605ZF i5 12500H/16GB/512GB/4GB RTX2050/Win11 (RP745W) - Hàng Chính Hãng,20990000,12%,18490000,https://salt.tikicdn.com/cache/280x280/ts/product/83/cd/fe/b94b329e1e0bcd73480a0e9092a58693.jpg,0,0,Asus,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
201831052,9353141688819,https://tiki.vn/laptop-hp-pavilion-15-eg2035tx-6k781pa-i5-1235u-8gb-512gb-mx550-win11-hang-chinh-hang-p201831052.html?spid=249009149,Laptop HP Pavilion 15 eg2035TX 6K781PA i5 1235U| 8GB| 512GB| MX550| Win11 - Hàng chính hãng,18720000,0%,18720000,https://salt.tikicdn.com/cache/280x280/ts/product/01/fe/73/8ce5dc820a5bb167fb7c58dfe874950c.png,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Mỹ,2024-11-21
253394090,7977374221324,https://tiki.vn/laptop-hp-elitebook-630-g9-6m142pa-i5-1235u-8gb-256gb-13-3-fhd-win-11-p253394090.html?spid=253394091,Laptop HP EliteBook 630 G9 6M142PA i5-1235U | 8GB | 256GB | 13.3' FHD | Win 11 Hàng chính hãng,21190000,0%,21190000,https://salt.tikicdn.com/cache/280x280/ts/product/a2/48/71/7edaa7daf7aa793fd023d807804c2d4b.jpg,0,0,HP,Hangchinhhieu(TP.HCM); Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
189572223,7634548491971,https://tiki.vn/laptop-asus-vivobook-f415e-i3-1115g4-8gb-128ssd-uhd-graphics-14-fhd-win10-xam-moi-100-p189572223.html?spid=189572225,Laptop Asus Vivobook F415E i3-1115G4/8GB/128SSD/UHD Graphics/14"FHD/Win10/Xám Mới 100%- Hàng Nhập Khẩu,10750000,0%,10750000,https://salt.tikicdn.com/cache/280x280/ts/product/bf/0e/a9/62280749cd095d6dd351c8e01d2b7365.jpg,0,0,Asus,Mac&More; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Việt Nam,2024-11-21
189572199,2403357126324,https://tiki.vn/laptop-asus-vivobook-x515ja-core-i3-1005g1-8gb-256gb-15-6-hd-win-10-mau-xam-moi-100-p189572199.html?spid=189572202,Laptop Asus VivoBook X515JA Core i3-1005G1/8GB/256GB/15.6"HD/Win 10/Màu Xám Mới 100%-Hàng Nhập Khẩu,10350000,0%,10350000,https://salt.tikicdn.com/cache/280x280/ts/product/29/d3/ff/c375a5143579ff61d25375e3e55f5a2a.jpg,0,0,Asus,Mac&More; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Việt Nam,2024-11-21
186228376,6067954296518,https://tiki.vn/laptop-hp-14s-fq1080au-4k0z7pa-r3-5300u-4gb-256gb-14-hd-win-10-hang-chinh-hang-p186228376.html?spid=248802460,Laptop HP 14s-fq1080AU (4K0Z7PA) (R3-5300U | 4GB | 256GB |14' HD | Win 10 Hàng chính hãng,8520000,0%,8520000,https://salt.tikicdn.com/cache/280x280/ts/product/86/6a/68/94614d5173d0203b625cec71f9d25ec3.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
190725464,7552321064187,https://tiki.vn/laptop-hp-pavilion-15-eg2056tu-i5-1240p-8gb-512gb-15-6-f-win11-6k786pa-vang-hang-chinh-hang-p190725464.html?spid=248802556,Laptop HP Pavilion 15 eg2056TU i5 1240P/8GB/512GB/15.6"F/Win11/(6K786PA)/Vàng - Hàng chính hãng,18360000,0%,18360000,https://salt.tikicdn.com/cache/280x280/ts/product/91/b0/7c/5ae87c1a7be698680aec9fe229e3b32b.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
276365875,5390297785001,https://tiki.vn/laptop-asus-vivobook-14-x1404za-nk386w-intel-core-i3-1215u-8gb-512gb-intel-uhd-14-inch-fhd-win-11-xanh-hang-chinh-hang-p276365875.html?spid=276365876,Laptop Asus Vivobook 14 X1404ZA-NK386W (Intel Core i3-1215U | 8GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Xanh) - HÀNG CHÍNH HÃNG,9609000,0%,9609000,https://salt.tikicdn.com/cache/280x280/ts/product/cc/e7/5f/cd63b0b698ca5c6559fa4af1414b4395.jpg,0,0,Asus,An Khang Computer; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;China,2024-11-21
275786133,6999942560170,https://tiki.vn/laptop-hp-pavilion-15-eg2082tu-i5-1240p-8gb-512gb-win11-7c0q5pa-hang-chinh-hang-p275786133.html?spid=275786134,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA) - Hàng Chính Hãng,19790000,17%,16490000,https://salt.tikicdn.com/cache/280x280/ts/product/ab/39/ec/05a20e89ffef8cb45636c81d370b65ff.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
