id,sku,product_name,short_description,price,list_price,origin_price,discount,discount_rate,all_time_quantity_sold,rating_average,review_count,inventory_status,stock_item_qty,stock_item_max_sale_qty,brand_id,brand_name,url_key,url_path,specification,variations,date
276365776,7142629787329,Laptop ASUS ExpertBook B1 B1402CVA-NK0062W (Intel Core i5-1335U | 8GB | 512GB | Intel UHD Graphics | 14 inch FHD | Windows 11 | Đen) - HÀNG CHÍNH HÃNG,Laptop ASUS ExpertBook B1 B1402CVA-NK0062W (Intel Core i5-1335U | 8GB | 512GB | Intel UHD Graphics | 14 inch FHD | Windows 11 | Đen) - HÀNG CHÍNH HÃNG tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,13450000,13450000,13450000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-expertbook-b1-b1402cva-nk0062w-intel-core-i5-1335u-8gb-512gb-intel-uhd-graphics-14-inch-fhd-windows-11-den-hang-chinh-hang-p276365776,laptop-asus-expertbook-b1-b1402cva-nk0062w-intel-core-i5-1335u-8gb-512gb-intel-uhd-graphics-14-inch-fhd-windows-11-den-hang-chinh-hang-p276365776.html?spid=276365777,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
275853281,1899142267316,Laptop HP Pavilion 15-eg3094TU 8C5L5PA (i5 1335U/ 8GB/ 512GB SSD/15.6 inch FHD/Win11/ Gold/ Vỏ nhôm) - Hàng Chính Hãng,Laptop HP Pavilion 15-eg3094TU 8C5L5PA (i5 1335U/ 8GB/ 512GB SSD/15.6 inch FHD/Win11/ Gold/ Vỏ nhôm) - Hàng Chính Hãng tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,16799000,16799000,16799000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-pavilion-15-eg3094tu-8c5l5pa-i5-1335u-8gb-512gb-ssd-15-6-inch-fhd-win11-gold-vo-nhom-hang-chinh-hang-p275853281,laptop-hp-pavilion-15-eg3094tu-8c5l5pa-i5-1335u-8gb-512gb-ssd-15-6-inch-fhd-win11-gold-vo-nhom-hang-chinh-hang-p275853281.html?spid=275853282,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
275793999,8075406411009,Laptop HP Spectre 14-ef0030TU 6K773PA (Core i7 1255U/ 16GB/ 1TB SSD/ Intel Iris Xe Graphics/ 13.5inch 3K2K Touch/ Windows 11 Home/ Xanh đen/ Vỏ nhôm) - Hàng Chính Hãng,Laptop HP Spectre 14-ef0030TU 6K773PA (Core i7 1255U/ 16GB/ 1TB SSD/ Intel Iris Xe Graphics/ 13.5inch 3K2K Touch/ Windows 11 Home/ Xanh đen/ Vỏ nhôm) - Hàng Chính Hãng tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,34779000,34779000,51990000,17211000,33,,0,0,availability,89,20,17825,HP,laptop-hp-spectre-14-ef0030tu-6k773pa-core-i7-1255u-16gb-1tb-ssd-intel-iris-xe-graphics-13-5inch-3k2k-touch-windows-11-home-xanh-den-vo-nhom-hang-chinh-hang-p275793999,laptop-hp-spectre-14-ef0030tu-6k773pa-core-i7-1255u-16gb-1tb-ssd-intel-iris-xe-graphics-13-5inch-3k2k-touch-windows-11-home-xanh-den-vo-nhom-hang-chinh-hang-p275793999.html?spid=275794000,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
249693211,8921278685906,Laptop Asus ExpertBook B1400 B1400CBA (Chip Intel Core i5-1235U | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US | Win bản quyền) - Hàng Chính Hãng,Laptop Asus ExpertBook B1400 B1400CBA (Chip Intel Core i5-1235U | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US | Win bản quyền) - Hàng Chính Hãng tại ThuanThienTs giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,14590000,14590000,20999000,6409000,31,,0,0,availability,89,20,17826,Asus,laptop-asus-expertbook-b1400-b1400cba-chip-intel-core-i5-1235u-ram-8gb-ssd-512gb-nvme-14-full-hd-bao-mat-van-tay-bao-mat-tpm-2-0-do-ben-chuan-quan-doi-us-win-ban-quyen-hang-chinh-hang-p249693211,laptop-asus-expertbook-b1400-b1400cba-chip-intel-core-i5-1235u-ram-8gb-ssd-512gb-nvme-14-full-hd-bao-mat-van-tay-bao-mat-tpm-2-0-do-ben-chuan-quan-doi-us-win-ban-quyen-hang-chinh-hang-p249693211.html?spid=249693212,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"ThuanThienTs"},[],2024-12-06
189572199,2403357126324,Laptop Asus VivoBook X515JA Core i3-1005G1/8GB/256GB/15.6"HD/Win 10/Màu Xám Mới 100%-Hàng Nhập Khẩu,Laptop Asus VivoBook X515JA Core i3-1005G1/8GB/256GB/15.6"HD/Win 10/Màu Xám Mới 100%-Hàng Nhập Khẩu tại Mac&More giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,10350000,10350000,10350000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-vivobook-x515ja-core-i3-1005g1-8gb-256gb-15-6-hd-win-10-mau-xam-moi-100-p189572199,laptop-asus-vivobook-x515ja-core-i3-1005g1-8gb-256gb-15-6-hd-win-10-mau-xam-moi-100-p189572199.html?spid=189572202,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Việt Nam"; "sellerName":"Mac&More"},[],2024-12-06
252172436,8746701926798,Laptop HP 15-DW3033dx (405F6UA) (Core i3-1115G4  8GB Ram  256GB SSD NVme  15.6 inch FHD  BT  Win10S  Silver - Hàng Nhập Khẩu,Laptop HP 15-DW3033dx (405F6UA) (Core i3-1115G4  8GB Ram  256GB SSD NVme  15.6 inch FHD  BT  Win10S  Silver - Hàng Nhập Khẩu tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,11640000,11640000,11640000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-15-dw3033dx-405f6ua-core-i3-1115g4-8gb-ram-256gb-ssd-nvme-15-6-inch-fhd-bt-win10s-silver-hang-nhap-khau-p252172436,laptop-hp-15-dw3033dx-405f6ua-core-i3-1115g4-8gb-ram-256gb-ssd-nvme-15-6-inch-fhd-bt-win10s-silver-hang-nhap-khau-p252172436.html?spid=252172437,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
186228376,6067954296518,Laptop HP 14s-fq1080AU (4K0Z7PA) (R3-5300U | 4GB | 256GB |14' HD | Win 10 Hàng chính hãng,Laptop HP 14s-fq1080AU (4K0Z7PA) (R3-5300U | 4GB | 256GB |14' HD | Win 10 Hàng chính hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,8520000,8520000,8520000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-14s-fq1080au-4k0z7pa-r3-5300u-4gb-256gb-14-hd-win-10-hang-chinh-hang-p186228376,laptop-hp-14s-fq1080au-4k0z7pa-r3-5300u-4gb-256gb-14-hd-win-10-hang-chinh-hang-p186228376.html?spid=248802460,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
189572223,7634548491971,Laptop Asus Vivobook F415E i3-1115G4/8GB/128SSD/UHD Graphics/14"FHD/Win10/Xám Mới 100%- Hàng Nhập Khẩu,Laptop Asus Vivobook F415E i3-1115G4/8GB/128SSD/UHD Graphics/14"FHD/Win10/Xám Mới 100%- Hàng Nhập Khẩu tại Mac&More giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,10750000,10750000,10750000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-vivobook-f415e-i3-1115g4-8gb-128ssd-uhd-graphics-14-fhd-win10-xam-moi-100-p189572223,laptop-asus-vivobook-f415e-i3-1115g4-8gb-128ssd-uhd-graphics-14-fhd-win10-xam-moi-100-p189572223.html?spid=189572225,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Việt Nam"; "sellerName":"Mac&More"},[],2024-12-06
275603559,2663248789654,Laptop Asus ExpertBook B1 B1402CBA-NK1560W (Intel Core i5-1235U | 8GB DDR4 | 512GB | Intel UHD Graphics | 14 inch FHD | Windows 11 Home | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng,Laptop Asus ExpertBook B1 B1402CBA-NK1560W (Intel Core i5-1235U | 8GB DDR4 | 512GB | Intel UHD Graphics | 14 inch FHD | Windows 11 Home | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng  tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,12790000,12790000,12790000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-expertbook-b1-b1402cba-nk1560w-intel-core-i5-1235u-8gb-ddr4-512gb-intel-uhd-graphics-14-inch-fhd-windows-11-home-den-hang-chinh-hang-bao-hanh-24-thang-p275603559,laptop-asus-expertbook-b1-b1402cba-nk1560w-intel-core-i5-1235u-8gb-ddr4-512gb-intel-uhd-graphics-14-inch-fhd-windows-11-home-den-hang-chinh-hang-bao-hanh-24-thang-p275603559.html?spid=275603560,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
214961090,9641585698568,Laptop HP ENVY x360 13-bf0092TU 76V59PA (Core i7-1250U | 8GB | 512GB | Iris Xᵉ Graphics | 13.3 inch 2.8K | Windows 11 | Space Blue) - Hàng Chính Hãng,Laptop HP ENVY x360 13-bf0092TU 76V59PA (Core i7-1250U | 8GB | 512GB | Iris Xᵉ Graphics | 13.3 inch 2.8K | Windows 11 | Space Blue) - Hàng Chính Hãng tại HP Official Store giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,32290000,32290000,32290000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-envy-x360-13-bf0092tu-76v59pa-core-i7-1250u-8gb-512gb-iris-x-graphics-13-3-inch-2-8k-windows-11-space-blue-hang-chinh-hang-p214961090,laptop-hp-envy-x360-13-bf0092tu-76v59pa-core-i7-1250u-8gb-512gb-iris-x-graphics-13-3-inch-2-8k-windows-11-space-blue-hang-chinh-hang-p214961090.html?spid=214961091,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"HP Official Store"},[],2024-12-06
213813597,4138200575336,Laptop HP Pavilion 15-eg2035TX 6K781PA (i5-1235U | 8GB | 512GB | VGA MX550 2GB | W11) Hàng chính hãng,Laptop HP Pavilion 15-eg2035TX 6K781PA (i5-1235U | 8GB | 512GB | VGA MX550 2GB | W11) Hàng chính hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,18720000,18720000,18720000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-pavilion-15-eg2035tx-6k781pa-i5-1235u-8gb-512gb-vga-mx550-2gb-w11-p213813597,laptop-hp-pavilion-15-eg2035tx-6k781pa-i5-1235u-8gb-512gb-vga-mx550-2gb-w11-p213813597.html?spid=249009147,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Việt Nam"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
275602781,7572088996290,Laptop Asus Vivobook 14 OLED A1405VA-KM257W (Intel Core i5-13500H | 16GB | 512GB | Intel Iris Xe | 14 inch 2.8K OLED | Win 11 | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng,Laptop Asus Vivobook 14 OLED A1405VA-KM257W (Intel Core i5-13500H | 16GB | 512GB | Intel Iris Xe | 14 inch 2.8K OLED | Win 11 | Đen) - Hàng Chính Hãng - Bảo Hành 24 Tháng tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,17450000,17450000,17450000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-vivobook-14-oled-a1405va-km257w-intel-core-i5-13500h-16gb-512gb-intel-iris-xe-14-inch-2-8k-oled-win-11-den-hang-chinh-hang-bao-hanh-24-thang-p275602781,laptop-asus-vivobook-14-oled-a1405va-km257w-intel-core-i5-13500h-16gb-512gb-intel-iris-xe-14-inch-2-8k-oled-win-11-den-hang-chinh-hang-bao-hanh-24-thang-p275602781.html?spid=275602794,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
